Track,Artist,Album,Duration,Explicit
A Little Bit Of Soap,De La Soul,3 Feet High And Rising,00:49,False
A.B.C.,Michael Jackson And The Jackson 5,Greatest Hits 1969-1975,03:00,False
A.M. 180,Grandaddy,Under The Western Freeway,03:20,False
Abbots Leigh,Beak>,>>>,06:36,False
Abc,Jackson 5,ABC,02:59,False
Aberdeen,Cage the Elephant,Thank You Happy Birthday,03:12,False
Accentuate the Positive,Johnny Mercer,The Blitz Years - Songs of Hope and Glory,02:47,False
Acceptable In The 80's,Calvin Harris,I Created Disco,05:33,False
Accordion,Madvillain  Madlib & MF DOOM,Madvillainy,01:58,False
Ackrite,Dr. Dre,2001,03:39,True
The Adults Are Talking,The Strokes,The New Abnormal,05:09,False
After the Love Is Gone (Edit),Earth  Wind & Fire,The Eternal Dance,04:25,False
Ágaetis Byrjun,Sigur Rós,Ágætis Byrjun,07:55,False
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,Guardians of the Galaxy: Awesome Mix  Vol. 1 (Original Motion Picture Soundtrack),02:29,False
All Caps,Madvillain  Madlib & MF DOOM,Madvillainy,02:10,False
All I Need (feat. Xavier Omar),Noname,Telefone,04:00,True
All I Need Is You,Rob Cantor,Not a Trampoline,03:18,False
All My Days,Alexi Murdoch,Time Without Consequence,04:57,False
All My Friends,LCD Soundsystem,Sound of Silver,07:42,False
All the Small Things,blink-182,Teenage Dirtbags,02:49,False
All These Things That I've Done,The Killers,Hot Fuss (Deluxe Edition),05:01,False
All This and More,Against Me!,Shape Shift with Me,03:36,True
All To Get Her,Plaid,Polymer,03:13,False
All You Need Is Love,The Beatles,Magical Mystery Tour,03:48,False
Allé Sauvage,Beak>,>>>,07:23,False
Alone  Together,The Strokes,Is This It,03:12,False
Alphabet Aerobics (The Cut Chemist 2 1/2 Minute Workout),Blackalicious,A2G EP,02:13,False
American Boy (feat. Kanye West),Estelle,Shine,04:44,True
American Idiot,Green Day,American Idiot (Deluxe Version),02:53,True
American Pie (Full Length Version),Don Mclean,American Pie,08:33,False
American Sports,Arctic Monkeys,Tranquility Base Hotel & Casino,02:38,False
Among the Wildflowers,The Hotelier,Home  Like Noplace Is There,05:48,False
And Your Bird Can Sing,The Beatles,Revolver,02:00,False
Angelina / Zooma Zooma,Louis Prima,Capitol Collectors Series: Louis Prima,04:16,False
Animals,Muse,The 2nd Law,04:22,False
Annie's Song,John Denver,John Denver's Greatest Hits  Vol. 2,03:01,False
Another Girl  Another Planet,The Only Ones,NME Classics,03:01,False
Another Girl  Another Planet (2008 Remastered),The Only Ones,The Only Ones,03:01,False
Another One Bites the Dust,Queen,The Game (Deluxe Edition),03:34,False
Anti-Lullaby (From “Hanna”),Karen O,Anti-Lullaby (From “Hanna”) - Single,01:20,False
Anyone Else But You,Michael Cera & Elliot Page,Juno (Music from the Motion Picture) [Deluxe Edition],01:56,False
Anyways,Arctic Monkeys,Tranquility Base Hotel & Casino - Single,03:41,False
Anywhere (feat. Snoop Dogg & the Last Artful  Dodgr),Anderson .Paak,Oxnard,03:46,False
Apeman,The Kinks,The Ultimate Collection,03:54,False
Apeman (Stereo Alternate Version),The Kinks,The Singles Collection,03:54,False
Apple Tree,Wolfmother,Wolfmother,03:30,False
Apply Some Pressure,Mark Ronson Feat. Paul Smith,Version,03:36,False
Arabella,Arctic Monkeys,AM,03:27,False
Around The World,Daft Punk,Homework,07:09,False
Asleep from Day,The Chemical Brothers,Surrender,04:47,False
At Night (Purple Disco Machine Remix),Shakedown,At Night (Purple Disco Machine Remix) - Single,03:28,False
At the Door,The Strokes,The New Abnormal,05:10,False
Au Revoir (Adios),The Front Bottoms,Talon of the Hawk,01:49,False
Avalanche,Leonard Cohen,Songs of Love and Hate,05:07,False
Avalon,Sigur Rós,Ágætis Byrjun,04:02,False
Avery,The Licks,Avery - Single,03:39,True
Awkward (EP Version),San Cisco,San Cisco,02:34,False
B.O.B. (Bombs Over Baghdad),Outkast,Stankonia,05:04,True
Baba O'Riley,The Who,Who's Next (Bonus Tracks Edition),04:59,False
Baby Blue (feat. Chance the Rapper),Action Bronson,Mr. Wonderful,04:40,True
Baby I Don’t Know Oh Oh (feat. Charles Jones),Vulfpeck,Mr Finish Line,03:28,False
Back Pocket,Vulfpeck,Thrill of the Arts,03:01,False
Backflip,The Front Bottoms,Talon of the Hawk,03:45,False
Bad Day,Daniel Powter,Best of Me,03:55,False
Bad Decisions,The Strokes,The New Abnormal,04:53,False
bad guy,Billie Eilish,WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?,03:14,False
Bad King Kong,The Derevolutions,The Derevolutions,06:32,False
Bad Moon Rising,Creedence Clearwater Revival,Best of Creedence Clearwater Revival,02:20,False
Bad Mother F*cker (feat. Kid Rock),Machine Gun Kelly,General Admission,03:33,True
The Bad Thing,Arctic Monkeys,Favourite Worst Nightmare,02:23,False
Balaclava,Arctic Monkeys,Favourite Worst Nightmare,02:49,False
Banana Man,Tally Hall,Marvin's Marvelous Mechanical Museum,04:09,False
Bang Bang,Dr. Dre,2001,03:42,True
Bango,The Chemical Brothers,No Geography,04:07,False
Bar One,Dr. Dre  Traci Nelson  Ms. Roq & Eddie Griffin,2001,00:50,True
Barely Legal,The Strokes,Is This It,03:58,False
Bat Out of Hell,Meat Loaf,Bat Out of Hell,09:50,False
Batphone,Arctic Monkeys,Tranquility Base Hotel & Casino,04:31,False
Be Around Me,Will Joseph Cook,Something to Feel Good About,03:01,True
Be Faithful (feat. The Crooklyn Clan),Fatman Scoop,Fatman Scoop's "Hottest Featured Artist Recordings",03:34,True
Be Honest (feat. Burna Boy),Jorja Smith,Be Honest (feat. Burna Boy) - Single,03:27,False
Be My Baby,The Ronettes,Dirty Dancing (Original Motion Picture Soundtrack),02:39,False
Be My Yoko Ono,Barenaked Ladies,Disc One:  All Their Greatest Hits 1991-2001,02:44,False
Beach Life-In-Death,Car Seat Headrest,Twin Fantasy,13:18,True
The Beast,Fugees,The Score,05:37,True
Beat It,Michael Jackson,The Indispensable Collection,04:18,False
Beautiful Lies,Birdy,Beautiful Lies (Deluxe),02:50,False
Bellbottoms,The Jon Spencer Blues Explosion,Orange,05:18,False
Belle,Jack Johnson,In Between Dreams (Bonus Track Version),01:42,False
The Bends,Radiohead,The Bends,04:06,False
Best Foot Forward (Teeko Remix),DJ Shadow,Endtroducing (Endtroducing Re-Emagined),01:43,False
Best Friend,Rex Orange County,Best Friend - Single,04:22,True
Better as One,The Heavy,Sons,02:56,False
Between the Bars,Elliott Smith,Either/Or,02:21,False
Beyond Love,Beach House,Depression Cherry,04:25,False
Bicycle Race,Queen,Greatest Hits I  II & III,03:03,False
Big Cloud,Radiator Hospital,Something Wild,03:09,False
Big Ego's,Dr. Dre,2001,03:58,True
Big Freeze,Muse,The 2nd Law,04:39,False
Big Rock Candy Mountain,Harry McClintock,Six Pack - Acoustic Guitar Folk Music - EP,02:16,False
Big Rock Candy Mountain,Harry McClintock,Six Pack - Acoustic Guitar Folk Music - EP,02:16,False
Big Yellow Taxi,Joni Mitchell,Hits,02:14,False
Billie Jean,Michael Jackson,Thriller,04:53,False
Billionaire (feat. Bruno Mars),Travie McCoy,Billionaire - EP,03:30,True
Birdhouse In Your Soul,They Might Be Giants,Flood,03:18,False
Birds of a Feather  We Rock Together (feat. Antwaun Stanley),Vulfpeck,Mr Finish Line,04:45,False
Birthday Suit,Beak>,>>>,04:29,False
Bitch Niggaz,Dr. Dre,2001,04:13,True
Black Belt,John Grant,Pale Green Ghosts,04:18,False
Blame It On the Girls,MIKA,The Boy Who Knew Too Much,03:33,False
Blazing Arrow,Blackalicious,Blazing Arrow,02:39,False
Blessings (feat. Ty Dolla $ign  Raury  BJ The Chicago Kid & Anderson .Paak),Chance the Rapper,Coloring Book,03:50,True
Blinding Lights,The Weeknd,Blinding Lights - Single,03:21,False
Blister in the Sun,Violent Femmes,Violent Femmes,02:25,False
Blood (Hidden Track),My Chemical Romance,The Black Parade,02:53,True
Blood Sweat & Tears,BTS,Wings,03:37,False
Blue In Green,Miles Davis,Kind of Blue,05:35,False
Bluebird,Beach House,Depression Cherry,03:55,False
Bodys,Car Seat Headrest,Twin Fantasy,06:46,False
Bohemian Like You,The Dandy Warhols,Bohemian Like You - EP,03:30,False
Bonfire,Childish Gambino,Camp,03:12,True
Bongo Bong,Manu Chao,Clandestino,02:38,False
Bonkers,Dizzee Rascal & Armand Van Helden,Tongue n' Cheek (Dirtee Deluxe Edition),02:57,False
Boogie Wonderland,Earth  Wind & Fire  The Emotions,I Am,04:48,False
BOOM,X Ambassadors,ORION,02:44,False
Boom  Boom  Boom  Boom!!,Vengaboys,Greatest Hits!,03:22,False
Bored In The USA,Father John Misty,I Love You  Honeybear,04:22,False
Boris the Spider,The Who,My Generation - The very best of the who,02:29,False
Born Slippy (Nuxx),Underworld,Festival Anthems,04:24,False
Bound 2,Kanye West,Yeezus,03:49,True
Boyfriend,Confidence Man,Confident Music For Confident People,04:09,False
Boyfriend,Against Me!,Shape Shift with Me,03:55,True
Boys Don't Cry,The Cure,Greatest Hits,02:42,False
Brand New Key,Melanie,Beautiful People: The Greatest Hits of Melanie,02:24,False
Brass Monkey,Beastie Boys,Licenced to Ill,02:37,False
Brazil,Declan McKenna,What Do You Think About the Car?,04:12,False
The Brazilian,Beak>,>>>,04:10,False
Break My Stride,Matthew Wilder,I Don't Speak the Language,03:04,False
Breakfast in America,Supertramp,The Very Best of Supertramp,02:39,False
Brean Down,Beak>,>>>,03:51,True
Breathing,Yellowcard,Ocean Avenue,03:38,False
Breezeblocks,alt-J,An Awesome Wave,03:47,False
Brianstorm,Arctic Monkeys,Favourite Worst Nightmare,02:50,False
Broadway,The Goo Goo Dolls,Dizzy Up the Girl,03:58,False
Broken (Remastered),Primal Scream,Velocity Girl / Broken - Single,04:02,False
Brooklyn Bridge to Chorus,The Strokes,The New Abnormal,03:55,False
Brother's Keeper (feat. Pusha T),Anderson .Paak,Oxnard,04:14,False
Brown Eyed Girl,Van Morrison,Van Morrison At The Movies: Soundtrack Hits,03:11,False
Bubblin,Anderson .Paak,Bubblin - Single,03:29,True
The Bucket,Kings of Leon,Aha Shake Heartbreak,02:55,False
Buddy Holly,Weezer,Weezer (Deluxe Edition),02:39,False
Buggin' Out,A Tribe Called Quest,The Low End Theory,03:37,False
Building Steam with a Grain of Salt (Bondax & Karma Kid Remix),DJ Shadow,Endtroducing (Endtroducing Re-Emagined),04:00,True
Building Steam with a Grain of Salt (Salva Remix),DJ Shadow,Endtroducing (Endtroducing Re-Emagined),04:19,True
Bullet Proof,The Goo Goo Dolls,Dizzy Up the Girl,04:37,False
Bulletproof,La Roux,Bulletproof - EP,03:25,False
Bulls On Parade,Rage Against the Machine,Evil Empire,03:49,True
Buona Sera,Louis Prima,Capitol Collectors Series: Louis Prima,03:07,False
Burnt (feat. The Hyrogliphics),Del Tha Funkee Homosapien,The Best of del Tha Funkee Homosapien - The Elektra Years: B-Boy Handbook,04:42,True
Butter,A Tribe Called Quest,The Low End Theory,03:38,False
Bye Bye Baby,Noname,Telefone,02:49,False
Bye Bye Baby,Bay City Rollers,The Best of Bay City Rollers,02:50,False
C.R.E.A.M.,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],04:12,True
C’mon Let Me Ride (feat. Eminem),Skylar Grey,Don't Look Down,03:38,True
Ca plane pour moi (Live - Countdown Spectacular 2007),Plastic Bertrand,No More Heroes: 60 Punk and New Wave Anthems,03:01,False
Cake By the Ocean,DNCE,Cake By the Ocean - Single,03:39,True
Caledonia,Dougie Maclean,Cragie Dhu,04:59,False
California Daze,Peace,EP Delicious - EP,03:56,False
California Gurls (feat. Snoop Dogg),Katy Perry,Teenage Dream,03:54,False
California Waiting,Kings Of Leon,Youth and Young Manhood,03:30,False
Calling the Biz,Handsome Boy Modeling School,So...How's Your Girl?,00:49,False
Can I Kick It?,A Tribe Called Quest,The Anthology,04:25,False
Can't Stop,Red Hot Chili Peppers,By the Way,04:28,False
Can’t Stop,NxWorries,Yes Lawd!,02:01,True
Cancer,My Chemical Romance,The Black Parade,02:22,False
The Car Bomb (feat. Charis Henry & Mel-Man),Dr. Dre  Charis Henry & Mel-Man,2001,01:00,True
Casket Pretty,Noname,Telefone,01:50,True
Castle on the Hill,Ed Sheeran,÷ (Deluxe),04:21,False
Catch Me I'm Falling,The Chemical Brothers,No Geography,05:28,False
The Cave,Mumford & Sons,Sigh No More,03:38,False
A Certain Romance,Arctic Monkeys,Whatever People Say I Am  That's What I'm Not,05:31,False
The Chain,Fleetwood Mac,Rumours,04:29,False
Chan Chan,Buena Vista Social Club,Buena Vista Social Club,04:16,False
Changeling II (Adrian Younge Remix),DJ Shadow,Endtroducing (Endtroducing Re-Emagined),03:06,False
Changes (1999 Remaster),David Bowie,Best of Bowie,03:34,False
Changing of the Seasons,Two Door Cinema Club,Changing of the Seasons - EP,03:42,False
The Chase (feat. Kadhja Bonet),Anderson .Paak,Oxnard,03:23,False
The Chase  Pt. II,A Tribe Called Quest,Midnight Marauders,04:02,False
Chateau Lobby #4 (In C For Two Virgins),Father John Misty,I Love You  Honeybear,02:50,False
Check the Rhime,A Tribe Called Quest,The Low End Theory,03:36,False
Check Yes  Juliet,We the Kings,We the Kings,03:40,False
Cheers (feat. Q-Tip),Anderson .Paak,Oxnard,05:34,False
